paper_row,source_link,source_key,venue_cat,venue,paper_type,title,year,I_design,J_presentation,K_representation,L_data,case_id,overall_row,source_link_overall,User (who)__Individual__union,User (who)__Individual__intersection,User (who)__Group__union,User (who)__Group__intersection,User (who)__Public__union,User (who)__Public__intersection,"Topic (what)__Entertainment, Sports
&Culture__union","Topic (what)__Entertainment, Sports
&Culture__intersection","Topic (what)__Environment 
(Surroudings/Nature), 
Geography&Ecology__union","Topic (what)__Environment 
(Surroudings/Nature), 
Geography&Ecology__intersection","Topic (what)__Health, Life 
& Emotion__union","Topic (what)__Health, Life 
& Emotion__intersection",Topic (what)__Science__union,Topic (what)__Science__intersection,"Topic (what)__Society&History
(include media)__union","Topic (what)__Society&History
(include media)__intersection","Topic (what)__Industry, Architecture&Engineering__union","Topic (what)__Industry, Architecture&Engineering__intersection",Topic (what)__Unspecified&Mixed Topics__union,Topic (what)__Unspecified&Mixed Topics__intersection,Presentation (how)__XR__union,Presentation (how)__XR__intersection,Presentation (how)__Event__union,Presentation (how)__Event__intersection,Presentation (how)__Artifact__union,Presentation (how)__Artifact__intersection,Presentation (how)__Installation__union,Presentation (how)__Installation__intersection,Presentation (how)__comprehension__union,Presentation (how)__comprehension__intersection,Goal (why)__communication__union,Goal (why)__communication__intersection,Goal (why)__archive__union,Goal (why)__archive__intersection,Goal (why)__engagement__union,Goal (why)__engagement__intersection,Goal (why)__reflection__union,Goal (why)__reflection__intersection,Goal (why)__analysis__union,Goal (why)__analysis__intersection,"data origin (when) historical, live, predictive, synthesized__Environmental data__union","data origin (when) historical, live, predictive, synthesized__Environmental data__intersection","data origin (when) historical, live, predictive, synthesized__Participant-generated__union","data origin (when) historical, live, predictive, synthesized__Participant-generated__intersection","data origin (when) historical, live, predictive, synthesized__Collected&Uploaded__union","data origin (when) historical, live, predictive, synthesized__Collected&Uploaded__intersection","data origin (when) historical, live, predictive, synthesized__Unspecified__union","data origin (when) historical, live, predictive, synthesized__Unspecified__intersection",representation form (how)__visual__union,representation form (how)__visual__intersection,representation form (how)__haptic__union,representation form (how)__haptic__intersection,representation form (how)__sound__union,representation form (how)__sound__intersection,"representation form (how)__other (taste, smell，action)__union","representation form (how)__other (taste, smell，action)__intersection",Scale__small__union,Scale__small__intersection,Scale__medium__union,Scale__medium__intersection,Scale__large__union,Scale__large__intersection,Semantics__Symbolic__union,Semantics__Symbolic__intersection,Semantics__Iconic__union,Semantics__Iconic__intersection,Semantics__Indexical__union,Semantics__Indexical__intersection,matched_overall
3,Be the Datahttps://ieeexplore.ieee.org/document/8052517,ieee:8052517,Sociology,IEEE TLT,technique+algorithm,Be the Data: Embodied Visual Analytics,2017,1,1,1,1,3.0,5.0,Be the Datahttps://ieeexplore.ieee.org/document/8052517,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1
4,2013 – Solar Radiation Dowsing Rodhttps://dl.acm.org/doi/pdf/10.1145/2460625.2460671http://dataphys.org/list/solar-radiation-dowsing-rod/,doi:10.1145/2460625.2460671http://dataphys.org/list/solar-radiation-dowsing-rod,HCI,TEI,application+system,In Touch with Space: Embodying Live Data For Tangible Interaction,2013,1,0,1,1,9.0,11.0,2013 – Solar Radiation Dowsing Rodhttps://dl.acm.org/doi/pdf/10.1145/2460625.2460671http://dataphys.org/list/solar-radiation-dowsing-rod/,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
5,https://dl.acm.org/doi/10.1145/2702123.2702245,doi:10.1145/2702123.2702245,HCI,CHI,theory,Data-Things: Digital Fabrication Situated within Participatory Data Translation Activities,2015,1,0,1,1,54.0,56.0,https://dl.acm.org/doi/10.1145/2702123.2702245,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
6,https://dl.acm.org/doi/10.1145/2858036.2858059,doi:10.1145/2858036.2858059,HCI,CHI,application+system,Physikit: Data Engagement Through Physical Ambient Visualizations in the Home,2016,1,1,1,1,55.0,57.0,https://dl.acm.org/doi/10.1145/2858036.2858059,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
7,https://dl.acm.org/doi/10.1145/2901790.2901886,doi:10.1145/2901790.2901886,HCI,DIS,theory,Fantibles: Capturing Cricket Fan's Story in 3D,2016,0,1,1,1,56.0,58.0,https://dl.acm.org/doi/10.1145/2901790.2901886,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
8,https://ieeexplore.ieee.org/document/9233460,ieee:9233460,VIS,IEEE TVCG,application+system,Chemicals in the Creek: designing a situated data physicalization of open government data with the community,2020,1,1,1,1,57.0,59.0,https://ieeexplore.ieee.org/document/9233460,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
9,https://dl.acm.org/doi/10.1145/3411764.3445551,doi:10.1145/3411764.3445551,HCI,CHI,application+system,Documented: Embedding Information onto and Retrieving Information from 3D Printed Objects,2021,1,1,1,1,58.0,60.0,https://dl.acm.org/doi/10.1145/3411764.3445551,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
10,https://dl.acm.org/doi/10.1145/3322276.3323694,doi:10.1145/3322276.3323694,HCI,DIS,technique+algorithm,ListeningCups: A Case of Data Tactility and Data Stories,2019,0,1,1,1,59.0,61.0,https://dl.acm.org/doi/10.1145/3322276.3323694,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1
11,https://ieeexplore.ieee.org/document/8440836,ieee:8440836,VIS,IEEE TVCG,technique+algorithm,Dynamic Composite Data Physicalization Using Wheeled Micro-Robots,2018,1,0,1,1,61.0,63.0,https://ieeexplore.ieee.org/document/8440836,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1
12,https://dl.acm.org/doi/10.1145/3025453.3025980,doi:10.1145/3025453.3025980,HCI,CHI,application+system,EdiPulse: Investigating a Playful Approach to Self-monitoring through 3D Printed Chocolate Treats,2017,1,1,1,1,62.0,64.0,https://dl.acm.org/doi/10.1145/3025453.3025980,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
13,https://dl.acm.org/doi/10.1145/2901790.2901885,doi:10.1145/2901790.2901885,HCI,CHI,application+system,Skintillates: Designing and Creating Epidermal Interactions,2016,0,1,0,1,63.0,65.0,https://dl.acm.org/doi/10.1145/2901790.2901885,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1
14,https://dl.acm.org/doi/10.1145/3173574.3174005,doi:10.1145/3173574.3174005,HCI,CHI,theory,Tensions of Data-Driven Reflection: A Case Study of Real-Time Emotional Biosensing,2018,1,1,1,1,64.0,66.0,https://dl.acm.org/doi/10.1145/3173574.3174005,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1
15,https://dl.acm.org/doi/10.1145/3382507.3418848,doi:10.1145/3382507.3418848,HCI,CHI,application+system,PiHearts: Resonating Experiences of Self and Others Enabled by a Tangible Somaesthetic Design,2020,1,1,1,1,65.0,67.0,https://dl.acm.org/doi/10.1145/3382507.3418848,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1
16,https://dl.acm.org/doi/10.1145/3399715.3399743,doi:10.1145/3399715.3399743,HCI,CHI,application+system,Corsican Twin: Authoring In Situ Augmented Reality Visualisations in Virtual Reality,2020,1,1,1,1,66.0,68.0,https://dl.acm.org/doi/10.1145/3399715.3399743,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,1.0,1
17,https://ieeexplore.ieee.org/document/6344490,ieee:6344490,VIS,IEEE VAST,application+system,Informing the design of situated glyphs for a care facility,2012,1,1,1,1,67.0,69.0,https://ieeexplore.ieee.org/document/6344490,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1
18,https://dl.acm.org/doi/10.1145/3064663.3064794,doi:10.1145/3064663.3064794,HCI,DIS,application+system,"Cairn: A Tangible Apparatus for Situated Data Collection, Visualization and Analysis",2017,1,1,1,1,68.0,70.0,https://dl.acm.org/doi/10.1145/3064663.3064794,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
19,https://ieeexplore.ieee.org/document/8781563,ieee:8781563,VIS,IEEE VIS,theory,"Defamiliarization, Representation Granularity, and User Experience: A Qualitative Study with Two Situated Visualizations",2019,1,1,1,1,96.0,98.0,https://ieeexplore.ieee.org/document/8781563,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
20,https://dl.acm.org/doi/10.1145/3240167.3240206,doi:10.1145/3240167.3240206,HCI,CHI,application+system,Conveying a civic issue through data via spatially distributed public visualization and polling displays,2018,1,1,1,1,97.0,99.0,https://dl.acm.org/doi/10.1145/3240167.3240206,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
21,https://dl.acm.org/doi/10.1145/3357236.3395442,doi:10.1145/3357236.3395442,HCI,DIS,application+system,Entangling the Roles of Maker and Interpreter in Interpersonal Data Narratives: Explorations in Yarn and Sound,2020,0,1,1,1,98.0,100.0,https://dl.acm.org/doi/10.1145/3357236.3395442,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
22,https://dl.acm.org/doi/10.1145/3290605.3300614,doi:10.1145/3290605.3300614,HCI,CHI,application+system,Bookly: An Interactive Everyday Artifact Showing the Time of Physically Accumulated Reading Activity,2019,1,1,1,1,99.0,101.0,https://dl.acm.org/doi/10.1145/3290605.3300614,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1
23,https://dl.acm.org/doi/10.1145/3357236.3395439,doi:10.1145/3357236.3395439,HCI,DIS,application+system,DayClo: An Everyday Table Clock Providing Interaction with Personal Schedule Data for Self-reflection,2020,1,1,1,1,100.0,102.0,https://dl.acm.org/doi/10.1145/3357236.3395439,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
24,https://dl.acm.org/doi/10.1145/3411764.3445506,doi:10.1145/3411764.3445506,HCI,CHI,application+system,Making Sense of Complex Running Metrics Using a Modified Running Shoe,2021,1,1,1,1,101.0,103.0,https://dl.acm.org/doi/10.1145/3411764.3445506,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1
25,https://dl.acm.org/doi/10.1145/3411764.3445440,doi:10.1145/3411764.3445440,HCI,CHI,application+system,ADIO: An Interactive Artifact Physically Representing the Intangible Digital Audiobook Listening Experience in Everyday Living Spaces,2021,1,1,1,1,102.0,104.0,https://dl.acm.org/doi/10.1145/3411764.3445440,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1
26,https://dl.acm.org/doi/10.1145/3419249.3420173,doi:10.1145/3419249.3420173,HCI,CHI,application+system,Motiis: Fostering Parents’ Awareness of their Adolescents Emotional Experiences during Gaming,2020,1,1,1,1,103.0,105.0,https://dl.acm.org/doi/10.1145/3419249.3420173,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1
27,https://dl.acm.org/doi/10.1145/3461778.3462041,doi:10.1145/3461778.3462041,HCI,DIS,technique+algorithm,Laina: Dynamic Data Physicalization for Slow Exercising Feedback,2021,1,1,1,1,104.0,106.0,https://dl.acm.org/doi/10.1145/3461778.3462041,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1
28,https://dl.acm.org/doi/10.1145/3078810.3078826,doi:10.1145/3078810.3078826,HCI,DIS,application+system,Exploring Spatial Meaning with a Tangible Map,2017,1,1,1,1,105.0,107.0,https://dl.acm.org/doi/10.1145/3078810.3078826,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1
